id,created_at,updated_at,status,code_sap,name,fantasy,system,retroactive,owner
196,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434118,HIDROCERES COML AGRIC LTDA,HIDROCERES,,,1
197,2019-12-03 15:55:28,2020-01-09 14:39:05,True,10434126,HORTIBRAZ COMERCIO E TECNOLOGIA LTD,HORTIBRA,,,1
200,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550165,INTEC AGRICOLA LTDA EPP,INTEC,,,1
202,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434582,JANGADA SEMENTES E FERTILIZANTES LT,JANGADA SEMENTES,,,1
203,2019-12-03 15:55:28,2019-12-27 10:16:13,True,10434212,JOSE NORBERTO DIDEK E CIA LTDA,JOSÉ NORBERTO DIDEK,,,1
204,2019-12-03 15:55:28,2019-12-18 11:45:09,True,10434388,JUPARANA COMERCIAL AGRICOLA LTDA,JUPARANÁ,,,1
211,2019-12-03 15:55:28,2019-12-19 15:07:22,True,10433843,MOINHO IGUACU AGROINDL SA,MOINHO,,,1
217,2019-12-03 15:55:28,2019-12-18 15:47:23,True,10434003,PLANTECNICA SOLUCOES AGRIC LTDA,PLANTECNICA,,,1
218,2019-12-03 15:55:28,2019-12-19 15:55:18,True,10434369,PONTO FORTE COM E REP DE INS AGROP,PONTO FORTE,,,1
220,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433942,PRADO NORONHA LTDA,SOLOPLANTA,,,1
221,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433853,PRECISAO RURAL COM PROD AGROP LTDA,PRECISÃO RURAL,,,1
222,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10552496,PRODUCERES LTDA ME,PRODUCERES,,,1
226,2019-12-03 15:55:28,2020-01-09 15:11:18,True,10433924,RIGO AGROP LTDA,RIGO,,,1
207,2019-12-03 15:55:28,2020-01-16 16:16:24,True,10485810,LEMEFERTIL PRODUTOS AGRICOLAS LTDA,LEMEFERTIL,,,1
173,2019-12-03 15:55:28,2020-02-14 11:25:46,True,10546832,DIAMIG DIST DE INSUMOS AGRIC SA,DIAMIG,,,1
